Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de profesional;Sí o no;Total
Ambos sexos;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,76
Ambos sexos;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;No;94,24
Ambos sexos;Total Nacional;07 Castilla y León;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;07 Castilla y León;Enfermero/a o matrona;Sí;16,76
Ambos sexos;Total Nacional;07 Castilla y León;Enfermero/a o matrona;No;83,24
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;Sí;17,29
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;No;82,71
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,19
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;No;95,81
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;Sí;29,63
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;No;70,37
Ambos sexos;Total Nacional;09 Cataluña;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;09 Cataluña;Fisioterapeuta;Sí;14,10
Ambos sexos;Total Nacional;09 Cataluña;Fisioterapeuta;No;85,90
Ambos sexos;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,45
Ambos sexos;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;No;94,55
Ambos sexos;Total Nacional;09 Cataluña;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;09 Cataluña;Enfermero/a o matrona;Sí;19,62
Ambos sexos;Total Nacional;09 Cataluña;Enfermero/a o matrona;No;80,38
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;Sí;18,70
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;No;81,30
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,63
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;No;93,37
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;Sí;18,22
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;No;81,78
Ambos sexos;Total Nacional;11 Extremadura;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;11 Extremadura;Fisioterapeuta;Sí;12,31
Ambos sexos;Total Nacional;11 Extremadura;Fisioterapeuta;No;87,69
Ambos sexos;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,61
Ambos sexos;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;No;97,39
Ambos sexos;Total Nacional;11 Extremadura;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;11 Extremadura;Enfermero/a o matrona;Sí;7,06
Ambos sexos;Total Nacional;11 Extremadura;Enfermero/a o matrona;No;92,94
Ambos sexos;Total Nacional;12 Galicia;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;12 Galicia;Fisioterapeuta;Sí;26,71
Ambos sexos;Total Nacional;12 Galicia;Fisioterapeuta;No;73,29
Ambos sexos;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,57
Ambos sexos;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;No;93,43
Ambos sexos;Total Nacional;12 Galicia;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;12 Galicia;Enfermero/a o matrona;Sí;22,18
Ambos sexos;Total Nacional;12 Galicia;Enfermero/a o matrona;No;77,82
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;Sí;18,86
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;No;81,14
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,76
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;No;94,24
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;Sí;17,80
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Enfermero/a o matrona;No;82,20
Ambos sexos;Total Nacional;14 Murcia, Región de;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;14 Murcia, Región de;Fisioterapeuta;Sí;22,84
Ambos sexos;Total Nacional;14 Murcia, Región de;Fisioterapeuta;No;77,16
Ambos sexos;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,42
Ambos sexos;Total Nacional;14 Murcia, Región de;Psicólogo, psicoterapeuta o psiquiatra;No;94,58
Ambos sexos;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;Sí;15,58
Ambos sexos;Total Nacional;14 Murcia, Región de;Enfermero/a o matrona;No;84,42
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;Sí;21,24
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Fisioterapeuta;No;78,76
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,18
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Psicólogo, psicoterapeuta o psiquiatra;No;95,82
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;Sí;17,01
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Enfermero/a o matrona;No;82,99
Ambos sexos;Total Nacional;16 País Vasco;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;16 País Vasco;Fisioterapeuta;Sí;19,72
Ambos sexos;Total Nacional;16 País Vasco;Fisioterapeuta;No;80,28
Ambos sexos;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,79
Ambos sexos;Total Nacional;16 País Vasco;Psicólogo, psicoterapeuta o psiquiatra;No;95,21
Ambos sexos;Total Nacional;16 País Vasco;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;16 País Vasco;Enfermero/a o matrona;Sí;17,23
Ambos sexos;Total Nacional;16 País Vasco;Enfermero/a o matrona;No;82,77
Ambos sexos;Total Nacional;17 Rioja, La;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;17 Rioja, La;Fisioterapeuta;Sí;15,94
Ambos sexos;Total Nacional;17 Rioja, La;Fisioterapeuta;No;84,06
Ambos sexos;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,53
Ambos sexos;Total Nacional;17 Rioja, La;Psicólogo, psicoterapeuta o psiquiatra;No;95,47
Ambos sexos;Total Nacional;17 Rioja, La;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;17 Rioja, La;Enfermero/a o matrona;Sí;14,27
Ambos sexos;Total Nacional;17 Rioja, La;Enfermero/a o matrona;No;85,73
Ambos sexos;Total Nacional;18 Ceuta;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;18 Ceuta;Fisioterapeuta;Sí;17,68
Ambos sexos;Total Nacional;18 Ceuta;Fisioterapeuta;No;82,32
Ambos sexos;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,81
Ambos sexos;Total Nacional;18 Ceuta;Psicólogo, psicoterapeuta o psiquiatra;No;96,19
Ambos sexos;Total Nacional;18 Ceuta;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;18 Ceuta;Enfermero/a o matrona;Sí;52,15
Ambos sexos;Total Nacional;18 Ceuta;Enfermero/a o matrona;No;47,85
Ambos sexos;Total Nacional;19 Melilla;Fisioterapeuta;TOTAL;100,00
Ambos sexos;Total Nacional;19 Melilla;Fisioterapeuta;Sí;10,13
Ambos sexos;Total Nacional;19 Melilla;Fisioterapeuta;No;89,87
Ambos sexos;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Ambos sexos;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;Sí;1,92
Ambos sexos;Total Nacional;19 Melilla;Psicólogo, psicoterapeuta o psiquiatra;No;98,08
Ambos sexos;Total Nacional;19 Melilla;Enfermero/a o matrona;TOTAL;100,00
Ambos sexos;Total Nacional;19 Melilla;Enfermero/a o matrona;Sí;0,26
Ambos sexos;Total Nacional;19 Melilla;Enfermero/a o matrona;No;99,74
Hombres;Total Nacional;;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;;Fisioterapeuta;Sí;14,96
Hombres;Total Nacional;;Fisioterapeuta;No;85,04
Hombres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,00
Hombres;Total Nacional;;Psicólogo, psicoterapeuta o psiquiatra;No;96,00
Hombres;Total Nacional;;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;;Enfermero/a o matrona;Sí;13,44
Hombres;Total Nacional;;Enfermero/a o matrona;No;86,56
Hombres;Total Nacional;01 Andalucía;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;01 Andalucía;Fisioterapeuta;Sí;8,72
Hombres;Total Nacional;01 Andalucía;Fisioterapeuta;No;91,28
Hombres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,37
Hombres;Total Nacional;01 Andalucía;Psicólogo, psicoterapeuta o psiquiatra;No;97,63
Hombres;Total Nacional;01 Andalucía;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;01 Andalucía;Enfermero/a o matrona;Sí;6,16
Hombres;Total Nacional;01 Andalucía;Enfermero/a o matrona;No;93,84
Hombres;Total Nacional;02 Aragón;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;02 Aragón;Fisioterapeuta;Sí;11,27
Hombres;Total Nacional;02 Aragón;Fisioterapeuta;No;88,73
Hombres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,20
Hombres;Total Nacional;02 Aragón;Psicólogo, psicoterapeuta o psiquiatra;No;97,80
Hombres;Total Nacional;02 Aragón;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;02 Aragón;Enfermero/a o matrona;Sí;3,76
Hombres;Total Nacional;02 Aragón;Enfermero/a o matrona;No;96,24
Hombres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;Sí;21,92
Hombres;Total Nacional;03 Asturias, Principado de;Fisioterapeuta;No;78,08
Hombres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,27
Hombres;Total Nacional;03 Asturias, Principado de;Psicólogo, psicoterapeuta o psiquiatra;No;96,73
Hombres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;Sí;10,86
Hombres;Total Nacional;03 Asturias, Principado de;Enfermero/a o matrona;No;89,14
Hombres;Total Nacional;04 Balears, Illes;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;04 Balears, Illes;Fisioterapeuta;Sí;13,14
Hombres;Total Nacional;04 Balears, Illes;Fisioterapeuta;No;86,86
Hombres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,47
Hombres;Total Nacional;04 Balears, Illes;Psicólogo, psicoterapeuta o psiquiatra;No;96,53
Hombres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;Sí;3,83
Hombres;Total Nacional;04 Balears, Illes;Enfermero/a o matrona;No;96,17
Hombres;Total Nacional;05 Canarias;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;05 Canarias;Fisioterapeuta;Sí;11,10
Hombres;Total Nacional;05 Canarias;Fisioterapeuta;No;88,90
Hombres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,33
Hombres;Total Nacional;05 Canarias;Psicólogo, psicoterapeuta o psiquiatra;No;96,67
Hombres;Total Nacional;05 Canarias;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;05 Canarias;Enfermero/a o matrona;Sí;15,34
Hombres;Total Nacional;05 Canarias;Enfermero/a o matrona;No;84,66
Hombres;Total Nacional;06 Cantabria;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;06 Cantabria;Fisioterapeuta;Sí;18,29
Hombres;Total Nacional;06 Cantabria;Fisioterapeuta;No;81,71
Hombres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;Sí;3,07
Hombres;Total Nacional;06 Cantabria;Psicólogo, psicoterapeuta o psiquiatra;No;96,93
Hombres;Total Nacional;06 Cantabria;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;06 Cantabria;Enfermero/a o matrona;Sí;1,20
Hombres;Total Nacional;06 Cantabria;Enfermero/a o matrona;No;98,80
Hombres;Total Nacional;07 Castilla y León;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;07 Castilla y León;Fisioterapeuta;Sí;19,34
Hombres;Total Nacional;07 Castilla y León;Fisioterapeuta;No;80,66
Hombres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;Sí;5,64
Hombres;Total Nacional;07 Castilla y León;Psicólogo, psicoterapeuta o psiquiatra;No;94,36
Hombres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;Sí;13,20
Hombres;Total Nacional;07 Castilla y León;Enfermero/a o matrona;No;86,80
Hombres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;Sí;13,43
Hombres;Total Nacional;08 Castilla - La Mancha;Fisioterapeuta;No;86,57
Hombres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;Sí;2,60
Hombres;Total Nacional;08 Castilla - La Mancha;Psicólogo, psicoterapeuta o psiquiatra;No;97,40
Hombres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;Sí;25,01
Hombres;Total Nacional;08 Castilla - La Mancha;Enfermero/a o matrona;No;74,99
Hombres;Total Nacional;09 Cataluña;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;09 Cataluña;Fisioterapeuta;Sí;12,01
Hombres;Total Nacional;09 Cataluña;Fisioterapeuta;No;87,99
Hombres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,48
Hombres;Total Nacional;09 Cataluña;Psicólogo, psicoterapeuta o psiquiatra;No;95,52
Hombres;Total Nacional;09 Cataluña;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;09 Cataluña;Enfermero/a o matrona;Sí;16,26
Hombres;Total Nacional;09 Cataluña;Enfermero/a o matrona;No;83,74
Hombres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;Sí;17,38
Hombres;Total Nacional;10 Comunitat Valenciana;Fisioterapeuta;No;82,62
Hombres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;Sí;6,56
Hombres;Total Nacional;10 Comunitat Valenciana;Psicólogo, psicoterapeuta o psiquiatra;No;93,44
Hombres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;Sí;17,09
Hombres;Total Nacional;10 Comunitat Valenciana;Enfermero/a o matrona;No;82,91
Hombres;Total Nacional;11 Extremadura;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;11 Extremadura;Fisioterapeuta;Sí;8,45
Hombres;Total Nacional;11 Extremadura;Fisioterapeuta;No;91,55
Hombres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;Sí;1,56
Hombres;Total Nacional;11 Extremadura;Psicólogo, psicoterapeuta o psiquiatra;No;98,44
Hombres;Total Nacional;11 Extremadura;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;11 Extremadura;Enfermero/a o matrona;Sí;4,46
Hombres;Total Nacional;11 Extremadura;Enfermero/a o matrona;No;95,54
Hombres;Total Nacional;12 Galicia;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;12 Galicia;Fisioterapeuta;Sí;24,53
Hombres;Total Nacional;12 Galicia;Fisioterapeuta;No;75,47
Hombres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,45
Hombres;Total Nacional;12 Galicia;Psicólogo, psicoterapeuta o psiquiatra;No;95,55
Hombres;Total Nacional;12 Galicia;Enfermero/a o matrona;TOTAL;100,00
Hombres;Total Nacional;12 Galicia;Enfermero/a o matrona;Sí;19,93
Hombres;Total Nacional;12 Galicia;Enfermero/a o matrona;No;80,07
Hombres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;TOTAL;100,00
Hombres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;Sí;18,96
Hombres;Total Nacional;13 Madrid, Comunidad de;Fisioterapeuta;No;81,04
Hombres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;TOTAL;100,00
Hombres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;Sí;4,82
Hombres;Total Nacional;13 Madrid, Comunidad de;Psicólogo, psicoterapeuta o psiquiatra;No;95,18
