Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2006;94,2
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2022;528
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2021;519,7
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2020;461,7
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2019;361,4
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2018;344
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2017;322,4
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2016;330,8
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2015;339,4
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2014;307
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2013;305,6
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2012;372,6
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2011;382,7
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2010;364,3
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2009;390,1
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2008;361,9
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2007;314,7
Ambos sexos;01 Andalucía;Extranjera: No pertenecientes a la Unión Europea;2006;359,2
Ambos sexos;02 Aragón;Total;2022;1.287,5
Ambos sexos;02 Aragón;Total;2021;1.295
Ambos sexos;02 Aragón;Total;2020;1.308,5
Ambos sexos;02 Aragón;Total;2019;1.302,2
Ambos sexos;02 Aragón;Total;2018;1.293,4
Ambos sexos;02 Aragón;Total;2017;1.293,2
Ambos sexos;02 Aragón;Total;2016;1.295
Ambos sexos;02 Aragón;Total;2015;1.300,5
Ambos sexos;02 Aragón;Total;2014;1.305
Ambos sexos;02 Aragón;Total;2013;1.310,7
Ambos sexos;02 Aragón;Total;2012;1.317,7
Ambos sexos;02 Aragón;Total;2011;1.321,8
Ambos sexos;02 Aragón;Total;2010;1.322,3
Ambos sexos;02 Aragón;Total;2009;1.323,4
Ambos sexos;02 Aragón;Total;2008;1.316
Ambos sexos;02 Aragón;Total;2007;1.291,5
Ambos sexos;02 Aragón;Total;2006;1.265,9
Ambos sexos;02 Aragón;Española;2022;1.132,5
Ambos sexos;02 Aragón;Española;2021;1.140,7
Ambos sexos;02 Aragón;Española;2020;1.157,5
Ambos sexos;02 Aragón;Española;2019;1.152,8
Ambos sexos;02 Aragón;Española;2018;1.153,6
Ambos sexos;02 Aragón;Española;2017;1.160,1
Ambos sexos;02 Aragón;Española;2016;1.163,5
Ambos sexos;02 Aragón;Española;2015;1.166,3
Ambos sexos;02 Aragón;Española;2014;1.171,8
Ambos sexos;02 Aragón;Española;2013;1.166,9
Ambos sexos;02 Aragón;Española;2012;1.168,4
Ambos sexos;02 Aragón;Española;2011;1.165,1
Ambos sexos;02 Aragón;Española;2010;1.165,3
Ambos sexos;02 Aragón;Española;2009;1.166,1
Ambos sexos;02 Aragón;Española;2008;1.165,7
Ambos sexos;02 Aragón;Española;2007;1.160,4
Ambos sexos;02 Aragón;Española;2006;1.157,5
Ambos sexos;02 Aragón;Extranjera: Total;2022;155
Ambos sexos;02 Aragón;Extranjera: Total;2021;154,3
Ambos sexos;02 Aragón;Extranjera: Total;2020;151
Ambos sexos;02 Aragón;Extranjera: Total;2019;149,4
Ambos sexos;02 Aragón;Extranjera: Total;2018;139,8
Ambos sexos;02 Aragón;Extranjera: Total;2017;133,1
Ambos sexos;02 Aragón;Extranjera: Total;2016;131,5
Ambos sexos;02 Aragón;Extranjera: Total;2015;134,2
Ambos sexos;02 Aragón;Extranjera: Total;2014;133,2
Ambos sexos;02 Aragón;Extranjera: Total;2013;143,8
Ambos sexos;02 Aragón;Extranjera: Total;2012;149,3
Ambos sexos;02 Aragón;Extranjera: Total;2011;156,7
Ambos sexos;02 Aragón;Extranjera: Total;2010;157
Ambos sexos;02 Aragón;Extranjera: Total;2009;157,3
Ambos sexos;02 Aragón;Extranjera: Total;2008;150,3
Ambos sexos;02 Aragón;Extranjera: Total;2007;131,1
Ambos sexos;02 Aragón;Extranjera: Total;2006;108,4
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2022;55,9
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2021;73,5
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2020;72,8
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2019;71,7
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2018;68,9
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2017;69,4
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2016;70,5
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2015;57
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2014;59,2
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2013;60,8
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2012;60,8
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2011;68,5
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2010;68,9
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2009;72,5
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2008;67,8
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2007;51,9
Ambos sexos;02 Aragón;Extranjera: Unión Europea;2006;10,1
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2022;99,2
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2021;80,8
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2020;78,2
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2019;77,7
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2018;70,9
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2017;63,7
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2016;61
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2015;77,2
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2014;74
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2013;83
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2012;88,5
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2011;88,3
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2010;88,1
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2009;84,8
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2008;82,5
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2007;79,2
Ambos sexos;02 Aragón;Extranjera: No pertenecientes a la Unión Europea;2006;98,3
Ambos sexos;03 Asturias, Principado de;Total;2022;994,1
Ambos sexos;03 Asturias, Principado de;Total;2021;997,5
Ambos sexos;03 Asturias, Principado de;Total;2020;1.004,3
Ambos sexos;03 Asturias, Principado de;Total;2019;1.008,9
Ambos sexos;03 Asturias, Principado de;Total;2018;1.013,8
Ambos sexos;03 Asturias, Principado de;Total;2017;1.022,5
Ambos sexos;03 Asturias, Principado de;Total;2016;1.029,1
Ambos sexos;03 Asturias, Principado de;Total;2015;1.035,4
Ambos sexos;03 Asturias, Principado de;Total;2014;1.044,1
Ambos sexos;03 Asturias, Principado de;Total;2013;1.052,8
Ambos sexos;03 Asturias, Principado de;Total;2012;1.060,3
Ambos sexos;03 Asturias, Principado de;Total;2011;1.064,9
Ambos sexos;03 Asturias, Principado de;Total;2010;1.066,6
Ambos sexos;03 Asturias, Principado de;Total;2009;1.067,1
Ambos sexos;03 Asturias, Principado de;Total;2008;1.064,9
Ambos sexos;03 Asturias, Principado de;Total;2007;1.059,6
Ambos sexos;03 Asturias, Principado de;Total;2006;1.055,7
Ambos sexos;03 Asturias, Principado de;Española;2022;942,2
Ambos sexos;03 Asturias, Principado de;Española;2021;952,9
Ambos sexos;03 Asturias, Principado de;Española;2020;961
Ambos sexos;03 Asturias, Principado de;Española;2019;967
Ambos sexos;03 Asturias, Principado de;Española;2018;975
Ambos sexos;03 Asturias, Principado de;Española;2017;985,5
Ambos sexos;03 Asturias, Principado de;Española;2016;993
Ambos sexos;03 Asturias, Principado de;Española;2015;998,7
Ambos sexos;03 Asturias, Principado de;Española;2014;1.005,5
Ambos sexos;03 Asturias, Principado de;Española;2013;1.010,4
Ambos sexos;03 Asturias, Principado de;Española;2012;1.015
Ambos sexos;03 Asturias, Principado de;Española;2011;1.021,3
Ambos sexos;03 Asturias, Principado de;Española;2010;1.021,7
Ambos sexos;03 Asturias, Principado de;Española;2009;1.024,4
Ambos sexos;03 Asturias, Principado de;Española;2008;1.024,8
Ambos sexos;03 Asturias, Principado de;Española;2007;1.025,7
Ambos sexos;03 Asturias, Principado de;Española;2006;1.026,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2022;51,8
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2021;44,6
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2020;43,3
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2019;41,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2018;38,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2017;37
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2016;36,1
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2015;36,7
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2014;38,7
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2013;42,4
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2012;45,3
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2011;43,6
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2010;44,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2009;42,6
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2008;40,1
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2007;33,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Total;2006;28,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2022;18,3
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2021;14,6
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2020;14,8
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2019;10,5
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2018;9,7
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2017;12,7
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2016;13,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2015;14,2
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2014;14,8
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2013;16,1
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2012;15,5
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2011;17,4
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2010;16,4
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2009;6
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2008;8,8
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2007;9,9
Ambos sexos;03 Asturias, Principado de;Extranjera: Unión Europea;2006;4,3
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2022;33,5
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2021;30
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2020;28,5
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2019;31,4
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2018;29,1
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2017;24,4
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2016;22,2
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2015;22,5
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2014;23,9
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2013;26,3
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2012;29,8
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2011;26,2
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2010;28,5
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2009;36,7
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2008;31,3
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2007;23,9
Ambos sexos;03 Asturias, Principado de;Extranjera: No pertenecientes a la Unión Europea;2006;24,6
Ambos sexos;04 Balears, Illes;Total;2022;1.223,2
Ambos sexos;04 Balears, Illes;Total;2021;1.211,4
Ambos sexos;04 Balears, Illes;Total;2020;1.211,1
Ambos sexos;04 Balears, Illes;Total;2019;1.193,7
Ambos sexos;04 Balears, Illes;Total;2018;1.169,8
Ambos sexos;04 Balears, Illes;Total;2017;1.143,1
Ambos sexos;04 Balears, Illes;Total;2016;1.129,5
Ambos sexos;04 Balears, Illes;Total;2015;1.121
Ambos sexos;04 Balears, Illes;Total;2014;1.113,5
Ambos sexos;04 Balears, Illes;Total;2013;1.107,1
Ambos sexos;04 Balears, Illes;Total;2012;1.097,9
Ambos sexos;04 Balears, Illes;Total;2011;1.088,7
Ambos sexos;04 Balears, Illes;Total;2010;1.080,8
Ambos sexos;04 Balears, Illes;Total;2009;1.071,1
Ambos sexos;04 Balears, Illes;Total;2008;1.050,7
Ambos sexos;04 Balears, Illes;Total;2007;1.018,6
Ambos sexos;04 Balears, Illes;Total;2006;981,2
Ambos sexos;04 Balears, Illes;Española;2022;940,3
Ambos sexos;04 Balears, Illes;Española;2021;940,6
Ambos sexos;04 Balears, Illes;Española;2020;955,9
Ambos sexos;04 Balears, Illes;Española;2019;947,5
Ambos sexos;04 Balears, Illes;Española;2018;941,9
Ambos sexos;04 Balears, Illes;Española;2017;929,4
Ambos sexos;04 Balears, Illes;Española;2016;922,4
Ambos sexos;04 Balears, Illes;Española;2015;915
Ambos sexos;04 Balears, Illes;Española;2014;906,6
Ambos sexos;04 Balears, Illes;Española;2013;893,6
Ambos sexos;04 Balears, Illes;Española;2012;885,1
Ambos sexos;04 Balears, Illes;Española;2011;879,5
Ambos sexos;04 Balears, Illes;Española;2010;867,8
Ambos sexos;04 Balears, Illes;Española;2009;855,2
Ambos sexos;04 Balears, Illes;Española;2008;840,2
Ambos sexos;04 Balears, Illes;Española;2007;828,2
Ambos sexos;04 Balears, Illes;Española;2006;814,9
Ambos sexos;04 Balears, Illes;Extranjera: Total;2022;282,9
Ambos sexos;04 Balears, Illes;Extranjera: Total;2021;270,8
Ambos sexos;04 Balears, Illes;Extranjera: Total;2020;255,2
Ambos sexos;04 Balears, Illes;Extranjera: Total;2019;246,2
Ambos sexos;04 Balears, Illes;Extranjera: Total;2018;227,8
Ambos sexos;04 Balears, Illes;Extranjera: Total;2017;213,7
Ambos sexos;04 Balears, Illes;Extranjera: Total;2016;207,1
Ambos sexos;04 Balears, Illes;Extranjera: Total;2015;206
Ambos sexos;04 Balears, Illes;Extranjera: Total;2014;207
Ambos sexos;04 Balears, Illes;Extranjera: Total;2013;213,4
Ambos sexos;04 Balears, Illes;Extranjera: Total;2012;212,8
Ambos sexos;04 Balears, Illes;Extranjera: Total;2011;209,3
Ambos sexos;04 Balears, Illes;Extranjera: Total;2010;212,9
Ambos sexos;04 Balears, Illes;Extranjera: Total;2009;215,9
Ambos sexos;04 Balears, Illes;Extranjera: Total;2008;210,5
Ambos sexos;04 Balears, Illes;Extranjera: Total;2007;190,3
Ambos sexos;04 Balears, Illes;Extranjera: Total;2006;166,3
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2022;98,9
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2021;114,5
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2020;95,3
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2019;98,9
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2018;92,7
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2017;94,6
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2016;92,2
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2015;96,9
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2014;90,4
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2013;89,9
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2012;102,9
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2011;97,8
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2010;77,6
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2009;73,4
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2008;74,1
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2007;67,3
Ambos sexos;04 Balears, Illes;Extranjera: Unión Europea;2006;47,7
Ambos sexos;04 Balears, Illes;Extranjera: No pertenecientes a la Unión Europea;2022;184,1
