Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Sexo;Total
TOTAL;Balears, Illes;Total;Total;100,00
TOTAL;Balears, Illes;Total;Hombres;18,94
TOTAL;Balears, Illes;Total;Mujeres;81,06
TOTAL;Balears, Illes;Colegiados no jubilados;Total;98,80
TOTAL;Balears, Illes;Colegiados no jubilados;Hombres;18,44
TOTAL;Balears, Illes;Colegiados no jubilados;Mujeres;80,36
TOTAL;Balears, Illes;Colegiados jubilados;Total;1,20
TOTAL;Balears, Illes;Colegiados jubilados;Hombres;0,50
TOTAL;Balears, Illes;Colegiados jubilados;Mujeres;0,70
TOTAL;Balears, Illes;No consta;Total;0,00
TOTAL;Balears, Illes;No consta;Hombres;0,00
TOTAL;Balears, Illes;No consta;Mujeres;0,00
TOTAL;Canarias;Total;Total;100,00
TOTAL;Canarias;Total;Hombres;21,55
TOTAL;Canarias;Total;Mujeres;78,45
TOTAL;Canarias;Colegiados no jubilados;Total;98,25
TOTAL;Canarias;Colegiados no jubilados;Hombres;20,77
TOTAL;Canarias;Colegiados no jubilados;Mujeres;77,48
TOTAL;Canarias;Colegiados jubilados;Total;1,75
TOTAL;Canarias;Colegiados jubilados;Hombres;0,78
TOTAL;Canarias;Colegiados jubilados;Mujeres;0,97
TOTAL;Canarias;No consta;Total;0,00
TOTAL;Canarias;No consta;Hombres;0,00
TOTAL;Canarias;No consta;Mujeres;0,00
TOTAL;Cantabria;Total;Total;100,00
TOTAL;Cantabria;Total;Hombres;17,22
TOTAL;Cantabria;Total;Mujeres;82,78
TOTAL;Cantabria;Colegiados no jubilados;Total;99,23
TOTAL;Cantabria;Colegiados no jubilados;Hombres;17,22
TOTAL;Cantabria;Colegiados no jubilados;Mujeres;82,01
TOTAL;Cantabria;Colegiados jubilados;Total;0,77
TOTAL;Cantabria;Colegiados jubilados;Hombres;0,00
TOTAL;Cantabria;Colegiados jubilados;Mujeres;0,77
TOTAL;Cantabria;No consta;Total;0,00
TOTAL;Cantabria;No consta;Hombres;0,00
TOTAL;Cantabria;No consta;Mujeres;0,00
TOTAL;Castilla y León;Total;Total;100,00
TOTAL;Castilla y León;Total;Hombres;19,93
TOTAL;Castilla y León;Total;Mujeres;80,07
TOTAL;Castilla y León;Colegiados no jubilados;Total;98,81
TOTAL;Castilla y León;Colegiados no jubilados;Hombres;19,47
TOTAL;Castilla y León;Colegiados no jubilados;Mujeres;79,34
TOTAL;Castilla y León;Colegiados jubilados;Total;1,19
TOTAL;Castilla y León;Colegiados jubilados;Hombres;0,46
TOTAL;Castilla y León;Colegiados jubilados;Mujeres;0,73
TOTAL;Castilla y León;No consta;Total;0,00
TOTAL;Castilla y León;No consta;Hombres;0,00
TOTAL;Castilla y León;No consta;Mujeres;0,00
TOTAL;Castilla-La Mancha;Total;Total;100,00
TOTAL;Castilla-La Mancha;Total;Hombres;13,79
TOTAL;Castilla-La Mancha;Total;Mujeres;86,21
TOTAL;Castilla-La Mancha;Colegiados no jubilados;Total;99,82
TOTAL;Castilla-La Mancha;Colegiados no jubilados;Hombres;13,79
TOTAL;Castilla-La Mancha;Colegiados no jubilados;Mujeres;86,03
TOTAL;Castilla-La Mancha;Colegiados jubilados;Total;0,18
TOTAL;Castilla-La Mancha;Colegiados jubilados;Hombres;0,00
TOTAL;Castilla-La Mancha;Colegiados jubilados;Mujeres;0,18
TOTAL;Castilla-La Mancha;No consta;Total;0,00
TOTAL;Castilla-La Mancha;No consta;Hombres;0,00
TOTAL;Castilla-La Mancha;No consta;Mujeres;0,00
TOTAL;Cataluña;Total;Total;100,00
TOTAL;Cataluña;Total;Hombres;16,83
TOTAL;Cataluña;Total;Mujeres;83,17
TOTAL;Cataluña;Colegiados no jubilados;Total;99,13
TOTAL;Cataluña;Colegiados no jubilados;Hombres;16,55
TOTAL;Cataluña;Colegiados no jubilados;Mujeres;82,58
TOTAL;Cataluña;Colegiados jubilados;Total;0,87
TOTAL;Cataluña;Colegiados jubilados;Hombres;0,28
TOTAL;Cataluña;Colegiados jubilados;Mujeres;0,59
TOTAL;Cataluña;No consta;Total;0,00
TOTAL;Cataluña;No consta;Hombres;0,00
TOTAL;Cataluña;No consta;Mujeres;0,00
TOTAL;Comunitat Valenciana;Total;Total;100,00
TOTAL;Comunitat Valenciana;Total;Hombres;18,61
TOTAL;Comunitat Valenciana;Total;Mujeres;81,39
TOTAL;Comunitat Valenciana;Colegiados no jubilados;Total;99,43
TOTAL;Comunitat Valenciana;Colegiados no jubilados;Hombres;18,36
TOTAL;Comunitat Valenciana;Colegiados no jubilados;Mujeres;81,07
TOTAL;Comunitat Valenciana;Colegiados jubilados;Total;0,57
TOTAL;Comunitat Valenciana;Colegiados jubilados;Hombres;0,25
TOTAL;Comunitat Valenciana;Colegiados jubilados;Mujeres;0,32
TOTAL;Comunitat Valenciana;No consta;Total;0,00
TOTAL;Comunitat Valenciana;No consta;Hombres;0,00
TOTAL;Comunitat Valenciana;No consta;Mujeres;0,00
TOTAL;Extremadura;Total;Total;100,00
TOTAL;Extremadura;Total;Hombres;18,41
TOTAL;Extremadura;Total;Mujeres;81,59
TOTAL;Extremadura;Colegiados no jubilados;Total;99,73
TOTAL;Extremadura;Colegiados no jubilados;Hombres;18,41
TOTAL;Extremadura;Colegiados no jubilados;Mujeres;81,32
TOTAL;Extremadura;Colegiados jubilados;Total;0,27
TOTAL;Extremadura;Colegiados jubilados;Hombres;0,00
TOTAL;Extremadura;Colegiados jubilados;Mujeres;0,27
TOTAL;Extremadura;No consta;Total;0,00
TOTAL;Extremadura;No consta;Hombres;0,00
TOTAL;Extremadura;No consta;Mujeres;0,00
TOTAL;Galicia;Total;Total;100,00
TOTAL;Galicia;Total;Hombres;17,91
TOTAL;Galicia;Total;Mujeres;82,09
TOTAL;Galicia;Colegiados no jubilados;Total;99,07
TOTAL;Galicia;Colegiados no jubilados;Hombres;17,53
TOTAL;Galicia;Colegiados no jubilados;Mujeres;81,54
TOTAL;Galicia;Colegiados jubilados;Total;0,93
TOTAL;Galicia;Colegiados jubilados;Hombres;0,37
TOTAL;Galicia;Colegiados jubilados;Mujeres;0,56
TOTAL;Galicia;No consta;Total;0,00
TOTAL;Galicia;No consta;Hombres;0,00
TOTAL;Galicia;No consta;Mujeres;0,00
TOTAL;Madrid, Comunidad de;Total;Total;100,00
TOTAL;Madrid, Comunidad de;Total;Hombres;16,69
TOTAL;Madrid, Comunidad de;Total;Mujeres;83,31
TOTAL;Madrid, Comunidad de;Colegiados no jubilados;Total;99,34
TOTAL;Madrid, Comunidad de;Colegiados no jubilados;Hombres;16,48
TOTAL;Madrid, Comunidad de;Colegiados no jubilados;Mujeres;82,86
TOTAL;Madrid, Comunidad de;Colegiados jubilados;Total;0,66
TOTAL;Madrid, Comunidad de;Colegiados jubilados;Hombres;0,21
TOTAL;Madrid, Comunidad de;Colegiados jubilados;Mujeres;0,45
TOTAL;Madrid, Comunidad de;No consta;Total;0,00
TOTAL;Madrid, Comunidad de;No consta;Hombres;0,00
TOTAL;Madrid, Comunidad de;No consta;Mujeres;0,00
TOTAL;Murcia, Región de;Total;Total;100,00
TOTAL;Murcia, Región de;Total;Hombres;19,05
TOTAL;Murcia, Región de;Total;Mujeres;80,95
TOTAL;Murcia, Región de;Colegiados no jubilados;Total;98,46
TOTAL;Murcia, Región de;Colegiados no jubilados;Hombres;18,25
TOTAL;Murcia, Región de;Colegiados no jubilados;Mujeres;80,21
TOTAL;Murcia, Región de;Colegiados jubilados;Total;1,54
TOTAL;Murcia, Región de;Colegiados jubilados;Hombres;0,80
TOTAL;Murcia, Región de;Colegiados jubilados;Mujeres;0,74
TOTAL;Murcia, Región de;No consta;Total;0,00
TOTAL;Murcia, Región de;No consta;Hombres;0,00
TOTAL;Murcia, Región de;No consta;Mujeres;0,00
TOTAL;Navarra, Comunidad Foral de;Total;Total;100,00
TOTAL;Navarra, Comunidad Foral de;Total;Hombres;17,00
TOTAL;Navarra, Comunidad Foral de;Total;Mujeres;83,00
TOTAL;Navarra, Comunidad Foral de;Colegiados no jubilados;Total;95,61
TOTAL;Navarra, Comunidad Foral de;Colegiados no jubilados;Hombres;14,99
TOTAL;Navarra, Comunidad Foral de;Colegiados no jubilados;Mujeres;80,62
TOTAL;Navarra, Comunidad Foral de;Colegiados jubilados;Total;4,39
TOTAL;Navarra, Comunidad Foral de;Colegiados jubilados;Hombres;2,01
TOTAL;Navarra, Comunidad Foral de;Colegiados jubilados;Mujeres;2,38
TOTAL;Navarra, Comunidad Foral de;No consta;Total;0,00
TOTAL;Navarra, Comunidad Foral de;No consta;Hombres;0,00
TOTAL;Navarra, Comunidad Foral de;No consta;Mujeres;0,00
TOTAL;País Vasco;Total;Total;100,00
TOTAL;País Vasco;Total;Hombres;16,24
TOTAL;País Vasco;Total;Mujeres;83,76
TOTAL;País Vasco;Colegiados no jubilados;Total;98,96
TOTAL;País Vasco;Colegiados no jubilados;Hombres;15,81
TOTAL;País Vasco;Colegiados no jubilados;Mujeres;83,14
TOTAL;País Vasco;Colegiados jubilados;Total;1,04
TOTAL;País Vasco;Colegiados jubilados;Hombres;0,43
TOTAL;País Vasco;Colegiados jubilados;Mujeres;0,62
TOTAL;País Vasco;No consta;Total;0,00
TOTAL;País Vasco;No consta;Hombres;0,00
TOTAL;País Vasco;No consta;Mujeres;0,00
TOTAL;Rioja, La;Total;Total;100,00
TOTAL;Rioja, La;Total;Hombres;15,06
TOTAL;Rioja, La;Total;Mujeres;84,94
TOTAL;Rioja, La;Colegiados no jubilados;Total;98,40
TOTAL;Rioja, La;Colegiados no jubilados;Hombres;14,42
TOTAL;Rioja, La;Colegiados no jubilados;Mujeres;83,97
TOTAL;Rioja, La;Colegiados jubilados;Total;1,60
TOTAL;Rioja, La;Colegiados jubilados;Hombres;0,64
TOTAL;Rioja, La;Colegiados jubilados;Mujeres;0,96
TOTAL;Rioja, La;No consta;Total;0,00
TOTAL;Rioja, La;No consta;Hombres;0,00
TOTAL;Rioja, La;No consta;Mujeres;0,00
TOTAL;Ceuta;Total;Total;100,00
TOTAL;Ceuta;Total;Hombres;23,68
TOTAL;Ceuta;Total;Mujeres;76,32
TOTAL;Ceuta;Colegiados no jubilados;Total;100,00
TOTAL;Ceuta;Colegiados no jubilados;Hombres;23,68
TOTAL;Ceuta;Colegiados no jubilados;Mujeres;76,32
TOTAL;Ceuta;Colegiados jubilados;Total;0,00
TOTAL;Ceuta;Colegiados jubilados;Hombres;0,00
TOTAL;Ceuta;Colegiados jubilados;Mujeres;0,00
TOTAL;Ceuta;No consta;Total;0,00
TOTAL;Ceuta;No consta;Hombres;0,00
TOTAL;Ceuta;No consta;Mujeres;0,00
TOTAL;Melilla;Total;Total;100,00
TOTAL;Melilla;Total;Hombres;21,90
TOTAL;Melilla;Total;Mujeres;78,10
TOTAL;Melilla;Colegiados no jubilados;Total;100,00
TOTAL;Melilla;Colegiados no jubilados;Hombres;21,90
TOTAL;Melilla;Colegiados no jubilados;Mujeres;78,10
TOTAL;Melilla;Colegiados jubilados;Total;0,00
TOTAL;Melilla;Colegiados jubilados;Hombres;0,00
TOTAL;Melilla;Colegiados jubilados;Mujeres;0,00
TOTAL;Melilla;No consta;Total;0,00
TOTAL;Melilla;No consta;Hombres;0,00
TOTAL;Melilla;No consta;Mujeres;0,00
